Long Exact Matches:
   Start1     Start2    Length
    25692      54363        30
    27244      60868        27
    16358      43514        27
    23200      60495        21
    58415      59501        20
    17320      36849        23
    16896      36022        21
     8237      37458        27
      838      60539        26
     5640      38756        26
     5453      18832        26
     6584      44389        26
     3889      37361        27
    24388      35610        27
    37674      69377        40
    24884      36106        30
    41336      72496        27
    14205      42778        26
     6334      40983        29
    66617      70462        42
    11701      43565        39
    34652      60250        39
    42912      65824        28
    41938      69426        28
     5445      28549        20
    13464      23009        41
     1143      27237        21
    22127      62976        39
     9755      36132        26
     5503      61763        26
    24427      35880        26
    21449      37251        21
    16225      37251        21
    48137      56989        20
     5812      66791        28
    25177      51698        29
    39786      63525        30
     1061      69389        27
     1061      37686        27
     1421      11346        27
     3522      68866        20
    58904      62687        20
    23261      23324        20
     3905      59294        20
    37147      64400        20
     3963      52765        30
    50068      63603        32
    20868      49325        20
     4615      41301        27
    41301      49575        25
     4615      49575        25
    58182      66768        25
    46852      50331        38
    49258      62068        25
    16588      54231        25
    33415      55871        25
    22102      29818        25
    36882      66668        25
    17877      36031        38
    17640      60820        25
    47975      59979        25
    46526      55960        39
    15252      38105        27
    14941      41084        25
    54876      73113        41
     1165      60883        25
    19979      29284        25
    67473      73126        29
    54889      67473        28
     9895      20786        25
    12895      20590        25
    45806      70352        25
    17653      34853        27
    16247      37273        25
    11233      25194        38
     6411      44789        38
    16653      45276        25
     8326      55973        25
     8326      46539        25
    16134      46989        25
    55263      66631        29
    55263      70476        28
    43979      70476        25
    43979      66631        25
    33491      44663        80
     4652      19768        25
    47588      65415        25
    11057      43953        38
    23630      47486        38
     9167      47486        25
     9167      23630        25
    12017      39791        26
    12017      63530        25
    16918      17890        52
    16918      36044        25
    15189      33928        25
    28000      47677        25
    15302      40087        51
    14782      67312        25
    10579      39354        27
    39341      53393        25
    34692      60290        20
    18733      35955        25
    57685      66731        25
     4517      59192        25
    20240      36632        51
    15958      19483        25
    18222      30313        26
     7193      58382        25
    19992      47143        38
     4915      35164        25
     3057      16462        25
    17231      46878        27
     6522      47373        25
    13080      40243        25
    10829      53858        25
     9832      33013        25
      166       7491        25
     7754      43179        27
     8363      42201        26
    17851      59455        25
     4289       8641        26
     8641      64756        25
     4289      64756        25
    53226      70135        25
     6298      43429        27
    19285      40658        32
     4417      34110        25
    43366      49019        25
    17716      46078        38
    35794      50570        25
    17414      33087        38
    14454      42679        25
    17916      59627        26
    16944      59627        26
     2428      36196        26
     6222      41605        25
    10325      38340        25
    45224      54244        64
    17353      63426        25
     2738      49677        25
    43966      55250        38
    11070      55250        25
     3313      63504        25
    10701      45843        25
    17105      45517        25
      700       8189        25
    15289      26828        25
    37612      49206        25
       53      22311        25
    41579      57863        28
    10401      34914        26
     9289      40860        25
    18285      45530        27
     6335      20477        38
    20477      40984        28
     8056      37362        27
     3890       8056        26
    37362      64385        25
     8056      64385        25
     3890      64385        25
    13106      40269        40
     3660      64066        25
    42238      49984        25
    33402      70600        25
    11335      24515        25
    16221      21445        38
    32974      64682        26
    40256      73433        25
      561      60277        27
    52731      64463        38
