Long Exact Matches:
   Start1     Start2    Length
    25692      54363        30
    37674      69377        40
    24884      36106        30
    66617      70462        42
    11701      43565        39
    34652      60250        39
    13464      23009        41
    22127      62976        39
    39786      63525        30
     3963      52765        30
    50068      63603        32
    46852      50331        38
    17877      36031        38
    46526      55960        39
    54876      73113        41
    11233      25194        38
     6411      44789        38
    33491      44663        80
    11057      43953        38
    23630      47486        38
    16918      17890        52
    15302      40087        51
    20240      36632        51
    19992      47143        38
    19285      40658        32
    17716      46078        38
    17414      33087        38
    45224      54244        64
    43966      55250        38
     6335      20477        38
    13106      40269        40
    16221      21445        38
    52731      64463        38
