Long Exact Matches:
   Start1     Start2    Length
    35405     214223        20
    96051     100767        21
   116138     142715        19
   100013     182714        20
    85028     140729        19
    32090     175877        20
   170888     227396        19
    52717     139099        19
    89577     142719        19
   116142     183618        19
   207273     226587        19
    61794      86145        19
    93009     124005        19
     3792      75339        19
    40978     215584        33
    44143     140890        92
    53768      70370        19
   164317     218608        19
    60593      81575        20
    47948      75185        50
    22787     140288        36
    22787     220718        35
    48310      79564        20
    74484     123972        19
    63342     182340        21
    78622      96436        19
    32064      92313        20
    60958      96538        19
     5989      27748        22
     3793      18055        47
    48476     218528        46
    25055     127574        31
   144182     201227        31
   146972     189164        31
   107936     133682        20
   167474     223475        19
    48053      52076        31
   106568     108104        31
    70661     134225        33
    14837     221066        32
   125744     145871        31
    71025     115443        20
    77674     203536        19
    16673      70292        20
    80375      89192        19
   140286     220716        37
   103748     158441        19
    14835      82827        19
    27542      49769        19
    19733     195392        50
    16574      58229        20
    68325     208272        19
   124600     144475        20
   142898     180506        19
    93553     124102        24
   104823     178158        21
    93172     161071        19
   202843     207601        19
   132707     168539        19
    37846      73525        19
    79112     203540        20
   133145     208538        19
    46668     140190        34
    25822     139948        32
    67207      88315        19
   145459     213190        32
    17050     125785        47
     1873     117856        34
    24347     188039        31
    33191     126974        61
    25709     119132        47
    67505     192446        32
   119570     182888        31
    41210      77186        31
    46313     116144        31
    38210      58274        19
   173207     185687        20
    72753      91860        32
    46470     204984        30
   173280     225939        30
    24753     109329        30
    23982     140052        19
   183525     201312        30
    17736      73269        31
   224031     226068        30
    19215      78318        48
   121356     169302        61
   141576     206667        31
    41268     184821        30
    48318     113463        61
   165609     210186        30
   138879     227568        31
    29130     124110        30
    40677      61893        33
     1698      20025        61
   176514     180510        23
    53817     109935        62
   114441     207879        90
    70806     167052        30
    32223      97926        32
    48472     114715        19
    24749      97868        19
    79567     128887        22
    25921      54061        20
    28569     124827        23
    21803      83444        19
    69171     137034        36
    21827      95747        19
    95399     161495        21
    85568     142514        19
    90074     109874        19
   133623     161499        20
    50380     125002        19
    33775     202846        32
    22450     119686        33
    39874     113098        35
   113869     170455        20
    65666     224222        19
    65282     223853        20
    39123      49149        21
    30243     113802        19
    40047     123147        34
    40113      93816        19
    63503     221744        20
